model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7.0,14.0,21.0,16.0,4,no,PORSCHE 911 Carrera 4 Cabriolet,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,21.0,28.0,24.0,5.0,No
MERCEDES-BENZ SL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6.0,11.0,18.0,14.0,2,no,PORSCHE 911 Carrera 4 Cabriolet,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,19.0,28.0,22.0,4.0,No
MERCEDES-BENZ SL65 AMG,6.0,12,Auto-S5,2WD,Gasoline,small car,6.0,11.0,18.0,14.0,2,no,PORSCHE 911 Carrera 4 GTS,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,20.0,26.0,22.0,4.0,No
MERCEDES-BENZ SLK55 AMG,5.4,8,Auto-S7,2WD,Gasoline,small car,6.0,14.0,20.0,16.0,4,no,PORSCHE 911 Carrera 4 GTS,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,18.0,26.0,21.0,4.0,No
MERCEDES-BENZ SLR,5.4,8,Auto-S5,2WD,Gasoline,small car,6.0,12.0,16.0,13.0,1,no,PORSCHE 911 Carrera 4 GTS Cabriolet,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,20.0,25.0,22.0,4.0,No
MERCURY Mariner,2.3,4,Auto-L4,2WD,Gasoline,SUV,6.0,20.0,26.0,22.0,6,no,PORSCHE 911 Carrera 4 GTS Cabriolet,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,18.0,26.0,21.0,4.0,No
MERCURY Mariner,2.3,4,Auto-L4,4WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6,no,PORSCHE 911 Carrera 4S,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,21.0,28.0,24.0,5.0,No
MERCURY Mariner,3.0,6,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,20.0,6,no,PORSCHE 911 Carrera 4S,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,20.0,28.0,23.0,5.0,No
MERCURY Mariner,3.0,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,22.0,19.0,5,no,PORSCHE 911 Carrera 4S Cabriolet,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,21.0,28.0,24.0,5.0,No
MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34.0,30.0,32.0,9,yes,PORSCHE 911 Carrera 4S Cabriolet,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,19.0,28.0,22.0,4.0,No
MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29.0,27.0,28.0,8,yes,PORSCHE 911 Carrera Cabriolet,3.0,6.0,AMS-7,2WD,Gasoline,small car,1.0,22.0,28.0,24.0,5.0,No
MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20.0,28.0,23.0,7,yes,PORSCHE 911 Carrera Cabriolet,3.0,6.0,Man-7,2WD,Gasoline,small car,1.0,20.0,29.0,23.0,5.0,No
MERCURY Milan,3.0,6,Auto-L6,4WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6,yes,PORSCHE 911 Carrera GTS,3.0,6.0,AMS-7,2WD,Gasoline,small car,1.0,20.0,26.0,23.0,5.0,No
MERCURY Milan,3.0,6,Auto-L6,2WD,Gasoline,midsize car,7.0,18.0,26.0,21.0,6,yes,PORSCHE 911 Carrera GTS,3.0,6.0,Man-7,2WD,Gasoline,small car,1.0,18.0,26.0,21.0,4.0,No
MERCURY Mountaineer,4.0,6,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4,no,PORSCHE 911 Carrera GTS Cabriolet,3.0,6.0,AMS-7,2WD,Gasoline,small car,1.0,20.0,26.0,22.0,4.0,No
MERCURY Mountaineer,4.0,6,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3,no,PORSCHE 911 Carrera GTS Cabriolet,3.0,6.0,Man-7,2WD,Gasoline,small car,1.0,18.0,26.0,21.0,4.0,No
MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,SUV,7.0,13.0,20.0,16.0,4,no,PORSCHE 911 Carrera S,3.0,6.0,AMS-7,2WD,Gasoline,small car,1.0,22.0,28.0,24.0,5.0,No
MERCURY Mountaineer,4.6,8,Auto-L6,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3,no,PORSCHE 911 Carrera S,3.0,6.0,Man-7,2WD,Gasoline,small car,1.0,20.0,29.0,23.0,5.0,No
MERCURY Sable,3.5,6,Auto-L6,4WD,Gasoline,large car,9.5,17.0,24.0,19.0,5,no,PORSCHE 911 Carrera S Cabriolet,3.0,6.0,AMS-7,2WD,Gasoline,small car,1.0,22.0,28.0,24.0,5.0,No
MERCURY Sable,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18.0,28.0,22.0,6,yes,PORSCHE 911 Carrera S Cabriolet,3.0,6.0,Man-7,2WD,Gasoline,small car,1.0,20.0,28.0,23.0,5.0,No
MINI Mini Cooper Convertible,1.6,4,Auto-AV,2WD,Gasoline,small car,6.0,25.0,33.0,28.0,8,yes,PORSCHE 911 Targa 4,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,22.0,28.0,24.0,5.0,No
MINI Mini Cooper Convertible,1.6,4,Man-5,2WD,Gasoline,small car,6.0,26.0,35.0,29.0,8,yes,PORSCHE 911 Targa 4,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,19.0,28.0,22.0,4.0,No
MINI Mini Cooper S Convertible,1.6,4,Auto-S6,2WD,Gasoline,small car,6.0,22.0,31.0,26.0,8,yes,PORSCHE 911 Targa 4 GTS,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,20.0,26.0,22.0,4.0,No
MINI Mini Cooper S Convertible,1.6,4,Man-6,2WD,Gasoline,small car,6.0,24.0,31.0,27.0,8,yes,PORSCHE 911 Targa 4 GTS,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,18.0,26.0,21.0,4.0,No
MITSUBISHI Eclipse,2.4,4,Auto-S4,2WD,Gasoline,small car,7.0,20.0,26.0,22.0,6,yes,PORSCHE 911 Targa 4S,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,21.0,27.0,24.0,5.0,No
MITSUBISHI Eclipse,2.4,4,Man-5,2WD,Gasoline,small car,7.0,20.0,28.0,23.0,7,yes,PORSCHE 911 Targa 4S,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,19.0,28.0,22.0,4.0,No
MITSUBISHI Eclipse,3.8,6,Man-6,2WD,Gasoline,small car,6.0,16.0,25.0,19.0,5,no,PORSCHE 911 Turbo,3.8,6.0,AMS-7,4WD,Gasoline,small car,1.0,19.0,24.0,21.0,4.0,No
MITSUBISHI Eclipse,3.8,6,Auto-S5,2WD,Gasoline,small car,6.0,17.0,25.0,20.0,6,no,PORSCHE 911 Turbo Cabriolet,3.8,6.0,AMS-7,4WD,Gasoline,small car,1.0,19.0,24.0,21.0,4.0,No
MITSUBISHI Eclipse Spyder,2.4,4,Auto-S4,2WD,Gasoline,small car,7.0,19.0,26.0,22.0,6,yes,PORSCHE 911 Turbo S,3.8,6.0,AMS-7,4WD,Gasoline,small car,1.0,19.0,24.0,21.0,4.0,No
MITSUBISHI Eclipse Spyder,2.4,4,Man-5,2WD,Gasoline,small car,7.0,19.0,26.0,22.0,6,yes,PORSCHE 911 Turbo S Cabriolet,3.8,6.0,AMS-7,4WD,Gasoline,small car,1.0,19.0,24.0,21.0,4.0,No
MITSUBISHI Eclipse Spyder,3.8,6,Auto-S5,2WD,Gasoline,small car,6.0,16.0,24.0,19.0,5,no,PORSCHE Boxster,2.0,4.0,AMS-7,2WD,Gasoline,small car,3.0,22.0,29.0,25.0,5.0,No
MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6.0,16.0,25.0,19.0,5,no,PORSCHE Boxster,2.0,4.0,Man-6,2WD,Gasoline,small car,3.0,21.0,28.0,24.0,5.0,No
MITSUBISHI Endeavor,3.8,6,Auto-S4,2WD,Gasoline,SUV,6.0,15.0,22.0,18.0,5,no,PORSCHE Boxster S,2.5,4.0,AMS-7,2WD,Gasoline,small car,3.0,21.0,28.0,24.0,5.0,No
MITSUBISHI Endeavor,3.8,6,Auto-S4,4WD,Gasoline,SUV,6.0,15.0,19.0,17.0,4,no,PORSCHE Boxster S,2.5,4.0,Man-6,2WD,Gasoline,small car,3.0,20.0,26.0,22.0,4.0,No
MITSUBISHI Galant,2.4,4,Auto-S4,2WD,Gasoline,midsize car,9.5,20.0,27.0,23.0,7,yes,PORSCHE Cayenne GTS,3.6,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3.0,No
MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,PORSCHE Cayenne S,3.6,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,17.0,24.0,20.0,4.0,No
MITSUBISHI Lancer,2.0,4,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7,yes,PORSCHE Macan,2.0,4.0,AMS-7,4WD,Gasoline,small SUV,3.0,20.0,25.0,22.0,4.0,No
MITSUBISHI Lancer,2.0,4,Auto-AV,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,PORSCHE Macan GTS,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,3.0,17.0,23.0,19.0,3.0,No
MITSUBISHI Outlander,3.0,6,Auto-S6,2WD,Gasoline,SUV,9.5,17.0,25.0,20.0,6,yes,PORSCHE Macan S,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,3.0,17.0,23.0,19.0,3.0,No
MITSUBISHI Outlander,3.0,6,Auto-S6,4WD,Gasoline,SUV,9.5,17.0,24.0,20.0,6,yes,PORSCHE Panamera,3.0,6.0,AMS-8,2WD,Gasoline,large car,5.0,21.0,28.0,24.0,5.0,No
MITSUBISHI Outlander,2.4,4,Auto-AV,2WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6,no,PORSCHE Panamera 4,3.0,6.0,AMS-8,4WD,Gasoline,large car,5.0,21.0,27.0,23.0,5.0,No
MITSUBISHI Outlander,2.4,4,Auto-AV,4WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6,no,PORSCHE Panamera 4 Executive,3.0,6.0,AMS-8,4WD,Gasoline,large car,5.0,21.0,27.0,23.0,5.0,No
MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,PORSCHE Panamera 4S,2.9,6.0,AMS-8,4WD,Gasoline,large car,5.0,21.0,28.0,23.0,5.0,No
MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,7.0,14.0,18.0,15.0,3,no,PORSCHE Panamera 4S Executive,2.9,6.0,AMS-8,4WD,Gasoline,large car,5.0,21.0,28.0,23.0,5.0,No
MITSUBISHI Raider,4.7,8,Auto-L5,2WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3,no,PORSCHE Panamera Turbo,4.0,8.0,AMS-8,4WD,Gasoline,large car,3.0,18.0,25.0,21.0,4.0,No
MITSUBISHI Raider,4.7,8,Auto-L5,4WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3,no,PORSCHE Panamera Turbo Executive,4.0,8.0,AMS-8,4WD,Gasoline,large car,3.0,18.0,25.0,21.0,4.0,No
MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4,no,RAM 1500,5.7,8.0,Auto-6,4WD,Gasoline,pickup,3.0,13.0,18.0,14.0,1.0,No
MITSUBISHI Raider,3.7,6,Man-6,2WD,Gasoline,pickup,6.0,16.0,20.0,18.0,5,no,RAM 1500,5.7,8.0,Auto-8,2WD,Gasoline,pickup,3.0,15.0,22.0,17.0,3.0,No
MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,6.0,14.0,18.0,15.0,3,no,RAM 1500,5.7,8.0,Auto-8,4WD,Gasoline,pickup,3.0,15.0,21.0,17.0,3.0,No
NISSAN 350Z,3.5,6,Auto-S5,2WD,Gasoline,small car,7.0,17.0,24.0,20.0,6,yes,RAM Promaster City,2.4,4.0,Auto-9,2WD,Gasoline,special purpose,3.0,21.0,28.0,24.0,5.0,No
NISSAN 350Z,3.5,6,Man-6,2WD,Gasoline,small car,7.0,18.0,25.0,20.0,6,yes,SUBARU Crosstrek,2.0,4.0,Man-6,4WD,Gasoline,small SUV,7.0,23.0,29.0,25.0,5.0,No
NISSAN 350Z Roadster,3.5,6,Auto-S5,2WD,Gasoline,small car,7.0,17.0,23.0,19.0,5,no,SUBARU Crosstrek,2.0,4.0,SCV-7,4WD,Gasoline,small SUV,7.0,27.0,33.0,29.0,6.0,No
NISSAN 350Z Roadster,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17.0,24.0,20.0,6,yes,SUBARU Forester,2.0,4.0,SCV-8,4WD,Gasoline,small SUV,1.0,23.0,27.0,25.0,5.0,No
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,23.0,31.0,26.0,8,yes,SUBARU Forester,2.5,4.0,Man-6,4WD,Gasoline,small SUV,7.0,22.0,28.0,24.0,5.0,No
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,9.5,23.0,32.0,26.0,8,yes,SUBARU Forester,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7.0,26.0,32.0,28.0,6.0,No
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,SUBARU Impreza,2.0,4.0,Man-5,4WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,6.0,No
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,9.5,23.0,32.0,26.0,8,yes,SUBARU Impreza,2.0,4.0,Man-5,4WD,Gasoline,station wagon,7.0,24.0,31.0,26.0,5.0,No
NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7.0,19.0,26.0,22.0,6,yes,SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7.0,28.0,38.0,32.0,7.0,Yes
NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,midsize car,7.0,19.0,27.0,22.0,6,yes,SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7.0,28.0,37.0,31.0,7.0,Yes
NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,small car,7.0,19.0,26.0,22.0,6,yes,SUBARU Impreza Sport,2.0,4.0,Man-5,4WD,Gasoline,midsize car,7.0,23.0,31.0,26.0,5.0,No
NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6,yes,SUBARU Impreza Sport,2.0,4.0,Man-5,4WD,Gasoline,station wagon,7.0,22.0,30.0,25.0,5.0,No
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6.0,23.0,31.0,26.0,8,yes,SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7.0,27.0,36.0,30.0,7.0,Yes
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,6.0,23.0,32.0,26.0,8,yes,SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7.0,27.0,35.0,30.0,7.0,Yes
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,6.0,23.0,31.0,26.0,8,yes,SUBARU Legacy,2.5,4.0,SCV-7,4WD,Gasoline,midsize car,7.0,25.0,34.0,29.0,6.0,No
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,6.0,23.0,32.0,26.0,8,yes,SUBARU Legacy,3.6,6.0,SCV-6,4WD,Gasoline,midsize car,3.0,20.0,28.0,23.0,5.0,No
NISSAN Altima Hybrid,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,35.0,33.0,34.0,9,yes,SUBARU Outback,2.5,4.0,SCV-7,4WD,Gasoline,small SUV,7.0,25.0,32.0,28.0,6.0,No
NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,SUBARU Outback,3.6,6.0,SCV-6,4WD,Gasoline,small SUV,3.0,20.0,27.0,22.0,4.0,No
NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,SUBARU WRX,2.0,4.0,Man-6,4WD,Gasoline,small car,1.0,21.0,27.0,23.0,5.0,No
NISSAN Frontier,2.5,4,Auto-L5,2WD,Gasoline,pickup,7.0,17.0,22.0,19.0,5,no,SUBARU WRX,2.0,4.0,SCV-8,4WD,Gasoline,small car,1.0,18.0,24.0,21.0,4.0,No
NISSAN Frontier,2.5,4,Man-5,2WD,Gasoline,pickup,7.0,19.0,23.0,21.0,6,yes,SUBARU WRX,2.5,4.0,Man-6,4WD,Gasoline,small car,1.0,17.0,22.0,19.0,3.0,No
NISSAN Frontier,4.0,6,Auto-L5,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,TOYOTA 4Runner,4.0,6.0,SemiAuto-5,2WD,Gasoline,standard SUV,3.0,17.0,21.0,18.0,3.0,No
NISSAN Frontier,4.0,6,Man-6,2WD,Gasoline,pickup,7.0,16.0,20.0,17.0,4,no,TOYOTA 4Runner,4.0,6.0,SemiAuto-5,4WD,Gasoline,standard SUV,3.0,17.0,20.0,18.0,3.0,No
NISSAN Frontier,4.0,6,Auto-L5,4WD,Gasoline,pickup,7.0,14.0,19.0,16.0,4,no,TOYOTA Avalon,3.5,6.0,SemiAuto-6,2WD,Gasoline,midsize car,3.0,21.0,30.0,24.0,5.0,No
NISSAN Frontier,4.0,6,Man-6,4WD,Gasoline,pickup,7.0,15.0,19.0,17.0,4,no,TOYOTA Avalon Hybrid,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7.0,40.0,39.0,40.0,9.0,Yes
NISSAN Maxima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7.0,19.0,25.0,21.0,6,yes,TOYOTA C-HR,2.0,4.0,SCV-7,2WD,Gasoline,small car,3.0,27.0,31.0,29.0,6.0,No
NISSAN Pathfinder,4.0,6,Auto-L5,2WD,Gasoline,SUV,7.0,15.0,22.0,17.0,4,no,TOYOTA Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7.0,29.0,41.0,34.0,8.0,Yes
NISSAN Pathfinder,4.0,6,Auto-L5,4WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4,no,TOYOTA Camry,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5.0,22.0,33.0,26.0,5.0,No
NISSAN Pathfinder,5.6,8,Auto-S5,2WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,TOYOTA Camry Hybrid LE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7.0,51.0,53.0,52.0,10.0,Elite
NISSAN Pathfinder,5.6,8,Auto-S5,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,TOYOTA Camry Hybrid XLE/SE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7.0,44.0,47.0,46.0,10.0,Elite
NISSAN Quest,3.5,6,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,24.0,19.0,5,no,TOYOTA Camry LE/SE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7.0,28.0,39.0,32.0,7.0,Yes
NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,9.0,22.0,27.0,24.0,7,yes,TOYOTA Camry XLE/XSE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7.0,28.0,39.0,32.0,7.0,Yes
NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,9.0,21.0,26.0,23.0,7,yes,TOYOTA Camry XSE,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5.0,22.0,32.0,26.0,5.0,No
NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,6.0,22.0,27.0,24.0,7,yes,TOYOTA Corolla,1.8,4.0,CVT,2WD,Gasoline,midsize car,3.0,28.0,36.0,32.0,7.0,Yes
NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,6.0,21.0,26.0,23.0,7,yes,TOYOTA Corolla,1.8,4.0,Man-6,2WD,Gasoline,midsize car,3.0,27.0,35.0,30.0,7.0,Yes
NISSAN Sentra,2.0,4,Man-6,2WD,Gasoline,midsize car,7.0,24.0,31.0,27.0,8,yes,TOYOTA Corolla,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,3.0,28.0,35.0,31.0,7.0,Yes
NISSAN Sentra,2.0,4,Auto-AV,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5.0,29.0,38.0,33.0,8.0,Yes
NISSAN Sentra,2.5,4,Man-6,2WD,Gasoline,midsize car,6.0,21.0,29.0,24.0,7,yes,TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5.0,30.0,40.0,34.0,8.0,Yes
NISSAN Sentra,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6.0,24.0,30.0,26.0,8,yes,TOYOTA Corolla iM,1.8,4.0,Man-6,2WD,Gasoline,midsize car,5.0,27.0,35.0,30.0,7.0,Yes
NISSAN Titan,5.6,8,Auto-L5,2WD,Gasoline,pickup,6.0,12.0,17.0,14.0,2,no,TOYOTA Corolla iM,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,5.0,28.0,36.0,31.0,7.0,Yes
NISSAN Titan,5.6,8,Auto-L5,4WD,Gasoline,pickup,6.0,12.0,17.0,14.0,2,no,TOYOTA Land Cruiser,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,13.0,18.0,15.0,2.0,No
NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,TOYOTA Prius c,1.5,4.0,CVT,2WD,Gasoline,small car,7.0,48.0,43.0,46.0,10.0,Elite
NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7.0,26.0,31.0,28.0,8,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,29.0,25.0,5.0,No
NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7.0,27.0,33.0,29.0,8,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,25.0,5.0,No
NISSAN Xterra,4.0,6,Auto-L5,2WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,TOYOTA RAV4 Hybrid,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7.0,34.0,30.0,32.0,7.0,Yes
NISSAN Xterra,4.0,6,Man-6,2WD,Gasoline,SUV,7.0,16.0,20.0,17.0,4,no,TOYOTA RAV4 LE/XLE,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,30.0,26.0,5.0,No
NISSAN Xterra,4.0,6,Auto-L5,4WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4,no,TOYOTA RAV4 Limited,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,24.0,5.0,No
NISSAN Xterra,4.0,6,Man-6,4WD,Gasoline,SUV,7.0,16.0,20.0,17.0,4,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,2WD,Gasoline,standard SUV,5.0,13.0,17.0,15.0,2.0,No
PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22.0,31.0,26.0,8,yes,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,5.0,13.0,17.0,14.0,1.0,No
PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24.0,33.0,27.0,8,yes,TOYOTA Tundra,4.6,8.0,SemiAuto-6,2WD,Gasoline,pickup,3.0,15.0,19.0,16.0,2.0,No
PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,6.0,22.0,31.0,26.0,8,yes,TOYOTA Tundra,4.6,8.0,SemiAuto-6,4WD,Gasoline,pickup,3.0,14.0,18.0,16.0,2.0,No
PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,6.0,24.0,33.0,27.0,8,yes,TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,5.0,13.0,18.0,15.0,2.0,No
PONTIAC G5,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,22.0,31.0,25.0,7,yes,TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,5.0,13.0,17.0,14.0,1.0,No
PONTIAC G5,2.4,4,Man-5,2WD,Gasoline,small car,6.0,22.0,32.0,26.0,8,yes,TOYOTA Yaris,1.5,4.0,Auto-4,2WD,Gasoline,small car,3.0,30.0,35.0,32.0,7.0,Yes
PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,7.0,17.0,26.0,20.0,6,yes,TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,3.0,30.0,36.0,33.0,8.0,Yes
PONTIAC G6,3.5,6,Auto-L4,2WD,Gasoline,small car,7.0,18.0,29.0,22.0,6,yes,VOLKSWAGEN Beetle,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,26.0,33.0,29.0,6.0,No
PONTIAC G6,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,22.0,30.0,25.0,7,yes,VOLKSWAGEN Beetle Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,26.0,33.0,29.0,6.0,No
PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,6.0,17.0,26.0,20.0,6,no,VOLKSWAGEN Beetle Dune,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,26.0,34.0,29.0,6.0,No
PONTIAC G6,3.6,6,Auto-S6,2WD,Gasoline,small car,6.0,17.0,26.0,20.0,6,no,VOLKSWAGEN Beetle Dune Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,26.0,34.0,29.0,6.0,No
PONTIAC G6,3.9,6,Auto-S4,2WD,Gasoline,small car,6.0,15.0,22.0,18.0,5,no,VOLKSWAGEN Golf R,2.0,4.0,AMS-7,4WD,Gasoline,small car,3.0,22.0,29.0,25.0,5.0,No
PONTIAC G8,6.0,8,Auto-S6,2WD,Gasoline,large car,6.0,15.0,24.0,18.0,5,no,VOLKSWAGEN Golf R,2.0,4.0,Man-6,4WD,Gasoline,small car,3.0,21.0,29.0,24.0,5.0,No
PONTIAC Grand Prix,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,18.0,28.0,21.0,6,yes,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3.0,28.0,40.0,33.0,8.0,Yes
PONTIAC Grand Prix,5.3,8,Auto-S4,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5.0,28.0,38.0,32.0,7.0,Yes
